threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,185,106,0,0,0.0,0.3642611683848797,0.18213058419243985,0.6357388316151202,1.0,0.6357388316151202,0.7773109243697479,0.0,0.0,0.0
0.2,291,291,0,0,0,165,126,0,0,0.0,0.4329896907216495,0.21649484536082475,0.5670103092783505,1.0,0.5670103092783505,0.7236842105263158,0.0,0.0,0.0
0.3,291,291,0,0,0,145,146,0,0,0.0,0.5017182130584192,0.2508591065292096,0.49828178694158076,1.0,0.49828178694158076,0.6651376146788991,0.0,0.0,0.0
0.4,291,291,0,0,0,131,160,0,0,0.0,0.5498281786941581,0.27491408934707906,0.45017182130584193,1.0,0.45017182130584193,0.6208530805687205,0.0,0.0,0.0
0.5,291,291,0,0,0,123,168,0,0,0.0,0.5773195876288659,0.28865979381443296,0.422680412371134,1.0,0.422680412371134,0.5942028985507246,0.0,0.0,0.0
0.6,291,291,0,0,0,113,178,0,0,0.0,0.6116838487972509,0.30584192439862545,0.38831615120274915,1.0,0.38831615120274915,0.5594059405940595,0.0,0.0,0.0
0.7,291,291,0,0,0,97,194,0,0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
0.8,291,291,0,0,0,77,214,0,0,0.0,0.7353951890034365,0.36769759450171824,0.2646048109965636,1.0,0.2646048109965636,0.41847826086956524,0.0,0.0,0.0
0.9,291,291,0,0,0,52,239,0,0,0.0,0.8213058419243986,0.4106529209621993,0.17869415807560138,1.0,0.17869415807560138,0.3032069970845481,0.0,0.0,0.0
