threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,393,393,0,0,0,335,58,0,0,0.0,0.1475826972010178,0.0737913486005089,0.8524173027989822,1.0,0.8524173027989822,0.9203296703296703,0.0,0.0,0.0
0.5,393,393,0,0,0,314,79,0,0,0.0,0.2010178117048346,0.1005089058524173,0.7989821882951654,1.0,0.7989821882951654,0.8882602545968883,0.0,0.0,0.0
0.7,393,393,0,0,0,286,107,0,0,0.0,0.272264631043257,0.1361323155216285,0.727735368956743,1.0,0.727735368956743,0.8424153166421208,0.0,0.0,0.0
