threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,393,393,0,0,0,322,71,0,0,0.0,0.1806615776081425,0.09033078880407125,0.8193384223918575,1.0,0.8193384223918575,0.9006993006993006,0.0,0.0,0.0
0.5,393,393,0,0,0,299,94,0,0,0.0,0.23918575063613232,0.11959287531806616,0.7608142493638677,1.0,0.7608142493638677,0.8641618497109826,0.0,0.0,0.0
0.7,393,393,0,0,0,278,115,0,0,0.0,0.2926208651399491,0.14631043256997456,0.7073791348600509,1.0,0.7073791348600509,0.8286140089418778,0.0,0.0,0.0
