threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,4000,2000,2000,0,0,1741,259,970,1030,0.485,0.1295,0.30725,0.69275,0.6421984507561785,0.8705,0.7391212056888136,0.7990690457719162,0.515,0.6263301915475828
0.2,4000,2000,2000,0,0,1621,379,792,1208,0.396,0.1895,0.29275,0.70725,0.6717778698715292,0.8105,0.7346476319963744,0.7611846250787649,0.604,0.6735433509896849
0.3,4000,2000,2000,0,0,1505,495,681,1319,0.3405,0.2475,0.29400000000000004,0.706,0.6884720951509606,0.7525,0.7190635451505015,0.727122381477398,0.6595,0.6916622968012585
0.4,4000,2000,2000,0,0,1417,583,609,1391,0.3045,0.2915,0.298,0.702,0.6994076999012833,0.7085,0.7039244908097366,0.704660587639311,0.6955,0.7000503271263211
0.5,4000,2000,2000,0,0,1290,710,537,1463,0.2685,0.355,0.31174999999999997,0.68825,0.7060755336617406,0.645,0.6741573033707865,0.6732627703635526,0.7315,0.7011742151929067
0.6,4000,2000,2000,0,0,1171,829,451,1549,0.2255,0.4145,0.32,0.68,0.7219482120838471,0.5855,0.646604086140254,0.6513877207737595,0.7745,0.7076290543627226
0.7,4000,2000,2000,0,0,1034,966,367,1633,0.1835,0.483,0.33325,0.66675,0.7380442541042113,0.517,0.6080564539841223,0.6283185840707964,0.8165,0.7101543813872582
0.8,4000,2000,2000,0,0,886,1114,296,1704,0.148,0.557,0.35250000000000004,0.6475,0.7495769881556683,0.443,0.5568824638592081,0.6046841731724627,0.852,0.7073474470734744
0.9,4000,2000,2000,0,0,685,1315,196,1804,0.098,0.6575,0.37775,0.62225,0.7775255391600454,0.3425,0.47552933009371745,0.5783905097787753,0.902,0.70482516116429
