threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,393,393,0,0,0,336,57,0,0,0.0,0.1450381679389313,0.07251908396946564,0.8549618320610687,1.0,0.8549618320610687,0.9218106995884773,0.0,0.0,0.0
0.5,393,393,0,0,0,316,77,0,0,0.0,0.19592875318066158,0.09796437659033079,0.8040712468193384,1.0,0.8040712468193384,0.8913963328631876,0.0,0.0,0.0
0.7,393,393,0,0,0,301,92,0,0,0.0,0.2340966921119593,0.11704834605597965,0.7659033078880407,1.0,0.7659033078880407,0.867435158501441,0.0,0.0,0.0
