threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,227,64,0,0,0.0,0.21993127147766323,0.10996563573883161,0.7800687285223368,1.0,0.7800687285223368,0.8764478764478765,0.0,0.0,0.0
0.2,291,291,0,0,0,205,86,0,0,0.0,0.29553264604810997,0.14776632302405499,0.7044673539518901,1.0,0.7044673539518901,0.8266129032258064,0.0,0.0,0.0
0.3,291,291,0,0,0,196,95,0,0,0.0,0.32646048109965636,0.16323024054982818,0.6735395189003437,1.0,0.6735395189003437,0.8049281314168378,0.0,0.0,0.0
0.4,291,291,0,0,0,182,109,0,0,0.0,0.3745704467353952,0.1872852233676976,0.6254295532646048,1.0,0.6254295532646048,0.7695560253699788,0.0,0.0,0.0
0.5,291,291,0,0,0,164,127,0,0,0.0,0.436426116838488,0.218213058419244,0.563573883161512,1.0,0.563573883161512,0.7208791208791209,0.0,0.0,0.0
0.6,291,291,0,0,0,149,142,0,0,0.0,0.4879725085910653,0.24398625429553264,0.5120274914089347,1.0,0.5120274914089347,0.6772727272727272,0.0,0.0,0.0
0.7,291,291,0,0,0,131,160,0,0,0.0,0.5498281786941581,0.27491408934707906,0.45017182130584193,1.0,0.45017182130584193,0.6208530805687205,0.0,0.0,0.0
0.8,291,291,0,0,0,116,175,0,0,0.0,0.6013745704467354,0.3006872852233677,0.39862542955326463,1.0,0.39862542955326463,0.5700245700245701,0.0,0.0,0.0
0.9,291,291,0,0,0,94,197,0,0,0.0,0.6769759450171822,0.3384879725085911,0.3230240549828179,1.0,0.3230240549828179,0.48831168831168836,0.0,0.0,0.0
