threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,2118,782,1336,0,0,607,175,467,869,0.3495508982035928,0.2237851662404092,0.286668032222001,0.6968838526912181,0.5651769087523277,0.7762148337595908,0.654094827586207,0.8323754789272031,0.6504491017964071,0.7302521008403361
0.2,2118,782,1336,0,0,560,222,358,978,0.2679640718562874,0.28388746803069054,0.27592576994348894,0.7261567516525024,0.6100217864923747,0.7161125319693095,0.6588235294117647,0.815,0.7320359281437125,0.7712933753943217
0.3,2118,782,1336,0,0,525,257,286,1050,0.21407185628742514,0.32864450127877237,0.27135817878309876,0.7436260623229461,0.6473489519112207,0.6713554987212276,0.6591337099811676,0.8033664881407804,0.7859281437125748,0.7945516458569807
0.4,2118,782,1336,0,0,492,290,244,1092,0.18263473053892215,0.37084398976982097,0.27673936015437156,0.7478753541076487,0.6684782608695652,0.629156010230179,0.6482213438735177,0.7901591895803184,0.8173652694610778,0.803532008830022
0.5,2118,782,1336,0,0,465,317,212,1124,0.15868263473053892,0.4053708439897698,0.2820267393601544,0.7502360717658169,0.6868537666174298,0.5946291560102301,0.6374228923920492,0.7800138792505205,0.8413173652694611,0.8095066618653222
0.6,2118,782,1336,0,0,431,351,171,1165,0.1279940119760479,0.44884910485933505,0.28842155841769146,0.7535410764872521,0.7159468438538206,0.551150895140665,0.6228323699421965,0.7684696569920845,0.8720059880239521,0.8169705469845724
0.7,2118,782,1336,0,0,396,386,134,1202,0.10029940119760479,0.4936061381074169,0.29695276965251083,0.7544853635505193,0.7471698113207547,0.5063938618925832,0.6036585365853658,0.756926952141058,0.8997005988023952,0.8221614227086184
0.8,2118,782,1336,0,0,360,422,94,1242,0.07035928143712575,0.5396419437340153,0.30500061258557054,0.7563739376770539,0.7929515418502202,0.46035805626598464,0.5825242718446602,0.7463942307692307,0.9296407185628742,0.828
0.9,2118,782,1336,0,0,305,477,55,1281,0.04116766467065868,0.6099744245524297,0.3255710446115442,0.7488196411709159,0.8472222222222222,0.3900255754475703,0.5341506129597199,0.7286689419795221,0.9588323353293413,0.8280542986425339
