threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,269,22,0,0,0.0,0.07560137457044673,0.037800687285223365,0.9243986254295533,1.0,0.9243986254295533,0.9607142857142857,0.0,0.0,0.0
0.2,291,291,0,0,0,257,34,0,0,0.0,0.11683848797250859,0.058419243986254296,0.8831615120274914,1.0,0.8831615120274914,0.9379562043795621,0.0,0.0,0.0
0.3,291,291,0,0,0,250,41,0,0,0.0,0.140893470790378,0.070446735395189,0.8591065292096219,1.0,0.8591065292096219,0.9242144177449167,0.0,0.0,0.0
0.4,291,291,0,0,0,242,49,0,0,0.0,0.16838487972508592,0.08419243986254296,0.8316151202749141,1.0,0.8316151202749141,0.9080675422138836,0.0,0.0,0.0
0.5,291,291,0,0,0,235,56,0,0,0.0,0.19243986254295534,0.09621993127147767,0.8075601374570447,1.0,0.8075601374570447,0.8935361216730038,0.0,0.0,0.0
0.6,291,291,0,0,0,226,65,0,0,0.0,0.22336769759450173,0.11168384879725086,0.7766323024054983,1.0,0.7766323024054983,0.8742746615087041,0.0,0.0,0.0
0.7,291,291,0,0,0,216,75,0,0,0.0,0.25773195876288657,0.12886597938144329,0.7422680412371134,1.0,0.7422680412371134,0.8520710059171598,0.0,0.0,0.0
0.8,291,291,0,0,0,208,83,0,0,0.0,0.2852233676975945,0.14261168384879724,0.7147766323024055,1.0,0.7147766323024055,0.8336673346693386,0.0,0.0,0.0
0.9,291,291,0,0,0,199,92,0,0,0.0,0.3161512027491409,0.15807560137457044,0.6838487972508591,1.0,0.6838487972508591,0.8122448979591836,0.0,0.0,0.0
