threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,4000,2000,2000,0,0,1434,566,656,1344,0.328,0.283,0.3055,0.6945,0.6861244019138756,0.717,0.7012224938875306,0.7036649214659686,0.672,0.6874680306905371
0.2,4000,2000,2000,0,0,1260,740,525,1475,0.2625,0.37,0.31625000000000003,0.68375,0.7058823529411765,0.63,0.6657859973579922,0.6659142212189616,0.7375,0.6998813760379597
0.3,4000,2000,2000,0,0,1125,875,451,1549,0.2255,0.4375,0.3315,0.6685,0.7138324873096447,0.5625,0.6291946308724833,0.639026402640264,0.7745,0.7002712477396021
0.4,4000,2000,2000,0,0,1025,975,409,1591,0.2045,0.4875,0.346,0.654,0.7147838214783822,0.5125,0.5969714618520675,0.6200311769290725,0.7955,0.6968900569426194
0.5,4000,2000,2000,0,0,943,1057,366,1634,0.183,0.5285,0.35575,0.64425,0.7203972498090145,0.4715,0.5699607132064067,0.6072092159048681,0.817,0.6966531656363248
0.6,4000,2000,2000,0,0,866,1134,317,1683,0.1585,0.567,0.36274999999999996,0.63725,0.7320371935756551,0.433,0.5441407477222746,0.597444089456869,0.8415,0.6987751712684244
0.7,4000,2000,2000,0,0,786,1214,268,1732,0.134,0.607,0.3705,0.6295,0.74573055028463,0.393,0.5147347740667976,0.5879158180583842,0.866,0.7003639304488476
0.8,4000,2000,2000,0,0,682,1318,210,1790,0.105,0.659,0.382,0.618,0.7645739910313901,0.341,0.47164591977869985,0.575933075933076,0.895,0.7008613938919344
0.9,4000,2000,2000,0,0,526,1474,140,1860,0.07,0.737,0.40349999999999997,0.5965,0.7897897897897898,0.263,0.39459864966241565,0.5578884223155369,0.93,0.6974128233970753
