threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,393,393,0,0,0,180,213,0,0,0.0,0.5419847328244275,0.27099236641221375,0.4580152671755725,1.0,0.4580152671755725,0.6282722513089005,0.0,0.0,0.0
0.5,393,393,0,0,0,154,239,0,0,0.0,0.6081424936386769,0.30407124681933845,0.39185750636132316,1.0,0.39185750636132316,0.5630712979890311,0.0,0.0,0.0
0.7,393,393,0,0,0,129,264,0,0,0.0,0.6717557251908397,0.33587786259541985,0.3282442748091603,1.0,0.3282442748091603,0.4942528735632184,0.0,0.0,0.0
