threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,2118,782,1336,0,0,338,444,527,809,0.3944610778443114,0.5677749360613811,0.48111800695284623,0.5415486307837583,0.39075144508670523,0.4322250639386189,0.41044323011536127,0.6456504389465283,0.6055389221556886,0.6249517188103515
0.5,2118,782,1336,0,0,278,504,411,925,0.30763473053892215,0.6445012787723785,0.47606800465565036,0.5679886685552408,0.4034833091436865,0.3554987212276215,0.3779741672331748,0.6473058082575227,0.6923652694610778,0.6690777576853525
0.7,2118,782,1336,0,0,219,563,306,1030,0.22904191616766467,0.7199488491048593,0.474495382636262,0.5897072710103871,0.41714285714285715,0.28005115089514065,0.33511859219586837,0.6465787821720025,0.7709580838323353,0.7033117104813931
