threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,11376,7541,3835,0,0,7318,223,2321,1514,0.6052151238591916,0.02957167484418512,0.31739339935168837,0.7763713080168776,0.7592073866583671,0.9704283251558149,0.8519208381839348,0.8716177317213587,0.39478487614080837,0.5434314429289304
0.5,11376,7541,3835,0,0,7241,300,2047,1788,0.5337679269882659,0.039782522211908235,0.2867752246000871,0.7936884669479606,0.7796080964685616,0.9602174777880917,0.8605383564085805,0.8563218390804598,0.466232073011734,0.6037481006246834
0.7,11376,7541,3835,0,0,7136,405,1759,2076,0.4586701434159061,0.053706404986076116,0.2561882742009911,0.809774964838256,0.8022484541877459,0.9462935950139238,0.8683377950839619,0.8367593712212817,0.5413298565840938,0.6573780873970867
