threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,11376,7541,3835,0,0,6509,1032,2626,1209,0.6847457627118644,0.13685187640896432,0.41079881956041436,0.6784458509142054,0.7125342090859332,0.8631481235910357,0.7806428400095946,0.5394912985274432,0.3152542372881356,0.3979591836734694
0.5,11376,7541,3835,0,0,6173,1368,2353,1482,0.6135593220338983,0.18140830128630156,0.39748381166009994,0.6729078762306611,0.7240206427398546,0.8185916987136984,0.7684072944544718,0.52,0.3864406779661017,0.44338070306656696
0.7,11376,7541,3835,0,0,5753,1788,2066,1769,0.5387222946544981,0.23710383238297308,0.38791306351873556,0.6612165963431786,0.7357718378309247,0.7628961676170269,0.7490885416666667,0.49732921000843405,0.46127770534550194,0.47862554112554107
