threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,223,68,0,0,0.0,0.23367697594501718,0.11683848797250859,0.7663230240549829,1.0,0.7663230240549829,0.8677042801556422,0.0,0.0,0.0
0.2,291,291,0,0,0,202,89,0,0,0.0,0.30584192439862545,0.15292096219931273,0.6941580756013745,1.0,0.6941580756013745,0.81947261663286,0.0,0.0,0.0
0.3,291,291,0,0,0,185,106,0,0,0.0,0.3642611683848797,0.18213058419243985,0.6357388316151202,1.0,0.6357388316151202,0.7773109243697479,0.0,0.0,0.0
0.4,291,291,0,0,0,174,117,0,0,0.0,0.4020618556701031,0.20103092783505155,0.5979381443298969,1.0,0.5979381443298969,0.7483870967741935,0.0,0.0,0.0
0.5,291,291,0,0,0,166,125,0,0,0.0,0.42955326460481097,0.21477663230240548,0.570446735395189,1.0,0.570446735395189,0.7264770240700219,0.0,0.0,0.0
0.6,291,291,0,0,0,149,142,0,0,0.0,0.4879725085910653,0.24398625429553264,0.5120274914089347,1.0,0.5120274914089347,0.6772727272727272,0.0,0.0,0.0
0.7,291,291,0,0,0,140,151,0,0,0.0,0.5189003436426117,0.25945017182130586,0.48109965635738833,1.0,0.48109965635738833,0.6496519721577726,0.0,0.0,0.0
0.8,291,291,0,0,0,124,167,0,0,0.0,0.5738831615120275,0.2869415807560137,0.4261168384879725,1.0,0.4261168384879725,0.5975903614457831,0.0,0.0,0.0
0.9,291,291,0,0,0,104,187,0,0,0.0,0.6426116838487973,0.32130584192439865,0.35738831615120276,1.0,0.35738831615120276,0.5265822784810127,0.0,0.0,0.0
