threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,265,26,0,0,0.0,0.08934707903780069,0.044673539518900345,0.9106529209621993,1.0,0.9106529209621993,0.9532374100719425,0.0,0.0,0.0
0.2,291,291,0,0,0,260,31,0,0,0.0,0.10652920962199312,0.05326460481099656,0.8934707903780069,1.0,0.8934707903780069,0.9437386569872959,0.0,0.0,0.0
0.3,291,291,0,0,0,252,39,0,0,0.0,0.13402061855670103,0.06701030927835051,0.865979381443299,1.0,0.865979381443299,0.9281767955801106,0.0,0.0,0.0
0.4,291,291,0,0,0,250,41,0,0,0.0,0.140893470790378,0.070446735395189,0.8591065292096219,1.0,0.8591065292096219,0.9242144177449167,0.0,0.0,0.0
0.5,291,291,0,0,0,242,49,0,0,0.0,0.16838487972508592,0.08419243986254296,0.8316151202749141,1.0,0.8316151202749141,0.9080675422138836,0.0,0.0,0.0
0.6,291,291,0,0,0,233,58,0,0,0.0,0.19931271477663232,0.09965635738831616,0.8006872852233677,1.0,0.8006872852233677,0.8893129770992366,0.0,0.0,0.0
0.7,291,291,0,0,0,224,67,0,0,0.0,0.23024054982817868,0.11512027491408934,0.7697594501718213,1.0,0.7697594501718213,0.8699029126213593,0.0,0.0,0.0
0.8,291,291,0,0,0,210,81,0,0,0.0,0.27835051546391754,0.13917525773195877,0.7216494845360825,1.0,0.7216494845360825,0.8383233532934131,0.0,0.0,0.0
0.9,291,291,0,0,0,191,100,0,0,0.0,0.3436426116838488,0.1718213058419244,0.6563573883161512,1.0,0.6563573883161512,0.7925311203319503,0.0,0.0,0.0
