threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,257,34,0,0,0.0,0.11683848797250859,0.058419243986254296,0.8831615120274914,1.0,0.8831615120274914,0.9379562043795621,0.0,0.0,0.0
0.2,291,291,0,0,0,241,50,0,0,0.0,0.1718213058419244,0.0859106529209622,0.8281786941580757,1.0,0.8281786941580757,0.9060150375939849,0.0,0.0,0.0
0.3,291,291,0,0,0,228,63,0,0,0.0,0.21649484536082475,0.10824742268041238,0.7835051546391752,1.0,0.7835051546391752,0.8786127167630058,0.0,0.0,0.0
0.4,291,291,0,0,0,221,70,0,0,0.0,0.24054982817869416,0.12027491408934708,0.7594501718213058,1.0,0.7594501718213058,0.86328125,0.0,0.0,0.0
0.5,291,291,0,0,0,209,82,0,0,0.0,0.281786941580756,0.140893470790378,0.718213058419244,1.0,0.718213058419244,0.836,0.0,0.0,0.0
0.6,291,291,0,0,0,198,93,0,0,0.0,0.31958762886597936,0.15979381443298968,0.6804123711340206,1.0,0.6804123711340206,0.8098159509202454,0.0,0.0,0.0
0.7,291,291,0,0,0,186,105,0,0,0.0,0.36082474226804123,0.18041237113402062,0.6391752577319587,1.0,0.6391752577319587,0.7798742138364779,0.0,0.0,0.0
0.8,291,291,0,0,0,171,120,0,0,0.0,0.41237113402061853,0.20618556701030927,0.5876288659793815,1.0,0.5876288659793815,0.7402597402597402,0.0,0.0,0.0
0.9,291,291,0,0,0,147,144,0,0,0.0,0.4948453608247423,0.24742268041237114,0.5051546391752577,1.0,0.5051546391752577,0.6712328767123288,0.0,0.0,0.0
