threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,291,291,0,0,0,290,1,0,0,0.0,0.003436426116838488,0.001718213058419244,0.9965635738831615,1.0,0.9965635738831615,0.9982788296041308,0.0,0.0,0.0
0.2,291,291,0,0,0,286,5,0,0,0.0,0.01718213058419244,0.00859106529209622,0.9828178694158075,1.0,0.9828178694158075,0.9913344887348353,0.0,0.0,0.0
0.3,291,291,0,0,0,282,9,0,0,0.0,0.030927835051546393,0.015463917525773196,0.9690721649484536,1.0,0.9690721649484536,0.9842931937172774,0.0,0.0,0.0
0.4,291,291,0,0,0,278,13,0,0,0.0,0.044673539518900345,0.022336769759450172,0.9553264604810997,1.0,0.9553264604810997,0.977152899824253,0.0,0.0,0.0
0.5,291,291,0,0,0,277,14,0,0,0.0,0.048109965635738834,0.024054982817869417,0.9518900343642611,1.0,0.9518900343642611,0.9753521126760563,0.0,0.0,0.0
0.6,291,291,0,0,0,276,15,0,0,0.0,0.05154639175257732,0.02577319587628866,0.9484536082474226,1.0,0.9484536082474226,0.9735449735449735,0.0,0.0,0.0
0.7,291,291,0,0,0,274,17,0,0,0.0,0.058419243986254296,0.029209621993127148,0.9415807560137457,1.0,0.9415807560137457,0.9699115044247788,0.0,0.0,0.0
0.8,291,291,0,0,0,269,22,0,0,0.0,0.07560137457044673,0.037800687285223365,0.9243986254295533,1.0,0.9243986254295533,0.9607142857142857,0.0,0.0,0.0
0.9,291,291,0,0,0,263,28,0,0,0.0,0.09621993127147767,0.048109965635738834,0.9037800687285223,1.0,0.9037800687285223,0.9494584837545127,0.0,0.0,0.0
