threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.3,393,393,0,0,0,342,51,0,0,0.0,0.1297709923664122,0.0648854961832061,0.8702290076335878,1.0,0.8702290076335878,0.9306122448979592,0.0,0.0,0.0
0.5,393,393,0,0,0,324,69,0,0,0.0,0.17557251908396945,0.08778625954198473,0.8244274809160306,1.0,0.8244274809160306,0.9037656903765691,0.0,0.0,0.0
0.7,393,393,0,0,0,303,90,0,0,0.0,0.22900763358778625,0.11450381679389313,0.7709923664122137,1.0,0.7709923664122137,0.8706896551724138,0.0,0.0,0.0
