threshold,num_samples,num_live,num_spoof,dropped_error_rows,dropped_invalid_label_rows,cm_true_live_pred_live,cm_true_live_pred_spoof,cm_true_spoof_pred_live,cm_true_spoof_pred_spoof,apcer,bpcer,acer,accuracy,precision_live,recall_live,f1_live,precision_spoof,recall_spoof,f1_spoof
0.1,4063,995,3068,0,0,935,60,1911,1157,0.6228813559322034,0.06030150753768844,0.34159143173494594,0.5148904750184593,0.3285312719606465,0.9396984924623115,0.48685238219213745,0.9506984387838948,0.3771186440677966,0.5400233372228705
0.2,4063,995,3068,0,0,879,116,1687,1381,0.5498696219035202,0.11658291457286432,0.33322626823819224,0.5562392320945114,0.3425565081839439,0.8834170854271357,0.493681550126369,0.9225116900467601,0.45013037809647977,0.6050383351588171
0.3,4063,995,3068,0,0,833,162,1527,1541,0.4977183833116037,0.1628140703517588,0.3302662268316812,0.5842973172532612,0.35296610169491527,0.8371859296482412,0.49657228017883764,0.9048737522019965,0.5022816166883963,0.6459861664221337
0.4,4063,995,3068,0,0,792,203,1419,1649,0.46251629726205995,0.20402010050251257,0.33326819888228626,0.6007875953728772,0.3582089552238806,0.7959798994974875,0.49407361197754207,0.8903887688984882,0.53748370273794,0.6703252032520325
0.5,4063,995,3068,0,0,756,239,1299,1769,0.42340286831812257,0.24020100502512562,0.3318019366716241,0.6214619739109033,0.3678832116788321,0.7597989949748744,0.49573770491803276,0.8809760956175299,0.5765971316818774,0.6970055161544524
0.6,4063,995,3068,0,0,709,286,1187,1881,0.38689700130378096,0.28743718592964823,0.3371670936167146,0.6374600049224711,0.3739451476793249,0.7125628140703517,0.49048772051193357,0.868020304568528,0.613102998696219,0.718624641833811
0.7,4063,995,3068,0,0,656,339,1075,1993,0.35039113428943935,0.3407035175879397,0.34554732593868953,0.6519812946098942,0.37897169266320047,0.6592964824120603,0.4812912692589875,0.8546312178387651,0.6496088657105606,0.7381481481481482
0.8,4063,995,3068,0,0,586,409,926,2142,0.30182529335071706,0.41105527638190953,0.3564402848663133,0.6714250553777996,0.38756613756613756,0.5889447236180905,0.46749102512963703,0.839670717365739,0.6981747066492829,0.7624132407901762
0.9,4063,995,3068,0,0,463,532,711,2357,0.2317470664928292,0.5346733668341709,0.3832102166635,0.6940684223480187,0.39437819420783643,0.4653266331658292,0.4269248501613647,0.8158532364139841,0.7682529335071708,0.7913379217727045
